primaryind,ds_codigo,ds_subpref,ds_cd_sub,ds_sigla,ds_nome
1,"63",PIRITUBA-JARAGUA,"02",PIR,PIRITUBA
2,"95",PIRITUBA-JARAGUA,"02",SDO,SAO DOMINGOS
3,"42",PIRITUBA-JARAGUA,"02",JAR,JARAGUA
4,"11",FREGUESIA-BRASILANDIA,"03",BRL,BRASILANDIA
5,"29",FREGUESIA-BRASILANDIA,"03",FRE,FREGUESIA DO O
6,"21",CASA VERDE-CACHOEIRINHA,"04",CVE,CASA VERDE
7,"13",CASA VERDE-CACHOEIRINHA,"04",CAC,CACHOEIRINHA
8,"50",CASA VERDE-CACHOEIRINHA,"04",LIM,LIMAO
9,"86",VILA MARIA-VILA GUILHERME,"07",VGL,VILA GUILHERME
10,"89",VILA MARIA-VILA GUILHERME,"07",VMR,VILA MARIA
11,"92",VILA MARIA-VILA GUILHERME,"07",VMD,VILA MEDEIROS
12,"5",PENHA,"21",AAL,ARTUR ALVIM
13,"59",PENHA,"21",PEN,PENHA
14,"18",PENHA,"21",CNG,CANGAIBA
15,"91",PENHA,"21",VMT,VILA MATILDE
16,"64",ERMELINO MATARAZZO,"22",PRA,PONTE RASA
17,"28",ERMELINO MATARAZZO,"22",ERM,ERMELINO MATARAZZO
18,"84",ITAIM PAULISTA,"24",VCR,VILA CURUCA
19,"36",ITAIM PAULISTA,"24",IPA,ITAIM PAULISTA
20,"31",GUAIANASES,"28",GUA,GUAIANASES
21,"96",GUAIANASES,"28",LAJ,LAJEADO
22,"6",LAPA,"08",BFU,BARRA FUNDA
23,"60",LAPA,"08",PRD,PERDIZES
24,"88",LAPA,"08",VLE,VILA LEOPOLDINA
25,"40",LAPA,"08",JAG,JAGUARA
26,"48",LAPA,"08",LAP,LAPA
27,"41",LAPA,"08",JRE,JAGUARE
28,"66",SE,"09",REP,REPUBLICA
29,"69",SE,"09",SCE,SANTA CECILIA
30,"78",SE,"09",SEE,SE
31,"7",SE,"09",BVI,BELA VISTA
32,"9",SE,"09",BRE,BOM RETIRO
33,"14",SE,"09",CMB,CAMBUCI
34,"26",SE,"09",CON,CONSOLACAO
35,"49",SE,"09",LIB,LIBERDADE
36,"53",MOOCA,"25",MOO,MOOCA
37,"56",MOOCA,"25",PRI,PARI
38,"80",MOOCA,"25",TAT,TATUAPE
39,"1",MOOCA,"25",ARA,AGUA RASA
40,"8",MOOCA,"25",BEL,BELEM
41,"10",MOOCA,"25",BRS,BRAS
42,"20",ARICANDUVA-FORMOSA-CARRAO,"26",CAR,CARRAO
43,"85",ARICANDUVA-FORMOSA-CARRAO,"26",VFO,VILA FORMOSA
44,"4",ARICANDUVA-FORMOSA-CARRAO,"26",ARI,ARICANDUVA
45,"73",SAO MATEUS,"30",SMT,SAO MATEUS
46,"75",SAO MATEUS,"30",SRA,SAO RAFAEL
47,"33",SAO MATEUS,"30",IGU,IGUATEMI
48,"93",VILA PRUDENTE,"29",VPR,VILA PRUDENTE
49,"72",VILA PRUDENTE,"29",SLU,SAO LUCAS
50,"54",BUTANTA,"10",MOR,MORUMBI
51,"67",BUTANTA,"10",RPE,RIO PEQUENO
52,"94",BUTANTA,"10",VSO,VILA SONIA
53,"12",BUTANTA,"10",BUT,BUTANTA
54,"65",BUTANTA,"10",RTA,RAPOSO TAVARES
55,"62",PINHEIROS,"11",PIN,PINHEIROS
56,"2",PINHEIROS,"11",API,ALTO DE PINHEIROS
57,"35",PINHEIROS,"11",IBI,ITAIM BIBI
58,"45",PINHEIROS,"11",JDP,JARDIM PAULISTA
59,"17",CAMPO LIMPO,"17",CLM,CAMPO LIMPO
60,"19",CAMPO LIMPO,"17",CRE,CAPAO REDONDO
61,"83",CAMPO LIMPO,"17",VAN,VILA ANDRADE
62,"43",M'BOI MIRIM,"18",JDA,JARDIM ANGELA
63,"46",M'BOI MIRIM,"18",JDS,JARDIM SAO LUIS
64,"79",CAPELA DO SOCORRO,"19",SOC,SOCORRO
65,"23",CAPELA DO SOCORRO,"19",CDU,CIDADE DUTRA
66,"30",CAPELA DO SOCORRO,"19",GRA,GRAJAU
67,"52",PARELHEIROS,"20",MAR,MARSILAC
68,"55",PARELHEIROS,"20",PLH,PARELHEIROS
69,"25",CIDADE TIRADENTES,"31",CTI,CIDADE TIRADENTES
70,"61",PERUS,"01",PRS,PERUS
71,"3",PERUS,"01",ANH,ANHANGUERA
72,"76",SAPOPEMBA,"32",SAP,SAPOPEMBA
73,"68",IPIRANGA,"13",SAC,SACOMA
74,"27",IPIRANGA,"13",CUR,CURSINO
75,"34",IPIRANGA,"13",IPI,IPIRANGA
76,"32",VILA MARIANA,"12",MOE,MOEMA
77,"77",VILA MARIANA,"12",SAU,SAUDE
78,"90",VILA MARIANA,"12",VMN,VILA MARIANA
79,"58",CIDADE ADEMAR,"16",PDR,PEDREIRA
80,"22",CIDADE ADEMAR,"16",CAD,CIDADE ADEMAR
81,"39",JACANA-TREMEMBE,"06",JAC,JACANA
82,"81",JACANA-TREMEMBE,"06",TRE,TREMEMBE
83,"51",SANTANA-TUCURUVI,"05",MAN,MANDAQUI
84,"70",SANTANA-TUCURUVI,"05",STN,SANTANA
85,"82",SANTANA-TUCURUVI,"05",TUC,TUCURUVI
86,"71",SANTO AMARO,"14",SAM,SANTO AMARO
87,"16",SANTO AMARO,"14",CGR,CAMPO GRANDE
88,"15",SANTO AMARO,"14",CBE,CAMPO BELO
89,"38",JABAQUARA,"15",JAB,JABAQUARA
90,"87",SAO MIGUEL,"23",VJA,VILA JACUI
91,"74",SAO MIGUEL,"23",SMI,SAO MIGUEL
92,"44",SAO MIGUEL,"23",JDH,JARDIM HELENA
93,"24",ITAQUERA,"27",CLD,CIDADE LIDER
94,"57",ITAQUERA,"27",PQC,PARQUE DO CARMO
95,"47",ITAQUERA,"27",JBO,JOSE BONIFACIO
96,"37",ITAQUERA,"27",ITQ,ITAQUERA
